case_uid,status,execution_time_ms,edge_coverage,depth,operators,input_shape,error_message
fuzz_pt_4c888813,Crash,1.0,5893,6,"MaxPool2d,BatchNorm2d,Flatten,MaxPool2d,AvgPool2d,Linear","[256, 2484]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_398d2944,Crash,1.0,2676,3,"ReLU,Linear,MaxPool2d","[256, 2292]",mat1 and mat2 shapes cannot be multiplied (256x2292 and 74x882)
fuzz_pt_5ef258f9,Crash,1.0,1691,2,"Conv2d,BatchNorm2d","[64, 48, 16, 32]","Given groups=1, weight of size [44, 7, 5, 5], expected input[64, 48, 16, 32] to have 7 channels, but got 48 channels instead"
fuzz_pt_af58b6ac,Crash,1.0,2440,1,Linear,"[256, 3072]",mat1 and mat2 shapes cannot be multiplied (256x3072 and 477x27)
fuzz_pt_1d39c511,Crash,1.0,1661,1,Conv2d,"[64, 60, 128, 64]","Given groups=1, weight of size [43, 53, 1, 1], expected input[64, 60, 128, 64] to have 53 channels, but got 60 channels instead"
fuzz_pt_f82b8111,Crash,1.0,5586,5,"Linear,BatchNorm2d,MaxPool2d,AvgPool2d,Conv2d","[4, 32, 16, 64]",mat1 and mat2 shapes cannot be multiplied (2048x64 and 455x331)
fuzz_pt_7bce73b6,Crash,1.0,3344,3,"MaxPool2d,Linear,ReLU","[1, 3143]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_17679333,Crash,1.0,3644,4,"Linear,Conv2d,BatchNorm2d,Linear","[256, 2966]",mat1 and mat2 shapes cannot be multiplied (256x2966 and 513x828)
fuzz_pt_55a80052,Crash,1.0,3119,2,"Conv2d,Linear","[4, 51, 64, 256]","Given groups=1, weight of size [38, 45, 1, 1], expected input[4, 51, 64, 256] to have 45 channels, but got 51 channels instead"
fuzz_pt_df7f6182,Crash,2.53,5814,6,"BatchNorm2d,AvgPool2d,MaxPool2d,ReLU,Conv2d,Linear","[1, 15, 64, 1024]",running_mean should contain 15 elements not 20
fuzz_pt_6c887c7b,Crash,1.0,1706,1,Linear,"[128, 45, 16, 256]",mat1 and mat2 shapes cannot be multiplied (92160x256 and 264x581)
fuzz_pt_5c04e910,Crash,28.0,2668,5,"MaxPool2d,MaxPool2d,AvgPool2d,Linear,AvgPool2d","[16, 10, 1024, 256]",mat1 and mat2 shapes cannot be multiplied (5920x9 and 532x787)
fuzz_pt_cde4cd1c,Crash,1.0,1186,2,"BatchNorm2d,BatchNorm2d","[64, 13, 16, 32]",running_mean should contain 13 elements not 2
fuzz_pt_5c5fc8d2,Crash,1.0,1838,1,Linear,"[4, 49, 64, 128]",mat1 and mat2 shapes cannot be multiplied (12544x128 and 875x906)
fuzz_pt_649df32f,Crash,1.0,3386,4,"Flatten,Linear,ReLU,Linear","[1, 1091]",mat1 and mat2 shapes cannot be multiplied (1x1091 and 946x863)
fuzz_pt_2fce5614,Crash,6.13,3340,6,"AvgPool2d,Conv2d,Conv2d,AvgPool2d,AvgPool2d,AvgPool2d","[128, 14, 64, 256]","Given groups=1, weight of size [38, 47, 5, 5], expected input[128, 14, 32, 128] to have 47 channels, but got 14 channels instead"
fuzz_pt_64525be3,Crash,2.02,3315,6,"MaxPool2d,Flatten,MaxPool2d,Flatten,ReLU,Flatten","[1, 45, 1024, 32]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_e4a6beaa,Crash,1.0,1517,3,"BatchNorm2d,AvgPool2d,AvgPool2d","[4, 35, 1024, 128]",running_mean should contain 35 elements not 46
fuzz_pt_2f2f5819,Crash,1.0,3023,3,"BatchNorm2d,AvgPool2d,Conv2d","[1, 1336]",expected 4D input (got 2D input)
fuzz_pt_0f0b16d4,Crash,1.0,1850,2,"Conv2d,ReLU","[1, 599]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 599]"
fuzz_pt_59e81ac0,Crash,1.0,2948,4,"ReLU,BatchNorm2d,ReLU,MaxPool2d","[16, 61, 32, 16]",running_mean should contain 61 elements not 51
fuzz_pt_6ca3db7d,Crash,8.41,2777,4,"ReLU,MaxPool2d,Flatten,Linear","[64, 16, 32, 256]",mat1 and mat2 shapes cannot be multiplied (64x13600 and 479x48)
fuzz_pt_f06bf76e,Crash,1.0,2466,2,"Linear,ReLU","[1, 62, 16, 16]",mat1 and mat2 shapes cannot be multiplied (992x16 and 353x247)
fuzz_pt_833ff1f9,Crash,1.0,4065,4,"Linear,AvgPool2d,ReLU,Linear","[128, 36, 256, 1024]",mat1 and mat2 shapes cannot be multiplied (1179648x1024 and 39x353)
fuzz_pt_073a667d,Crash,1.0,1801,2,"BatchNorm2d,MaxPool2d","[16, 10, 128, 64]",running_mean should contain 10 elements not 21
fuzz_pt_5f16c43c,Crash,1.0,3074,5,"ReLU,BatchNorm2d,BatchNorm2d,MaxPool2d,ReLU","[16, 29, 256, 16]",running_mean should contain 29 elements not 41
fuzz_pt_8ef189f7,Crash,2.01,5604,6,"Conv2d,Flatten,Linear,Linear,AvgPool2d,AvgPool2d","[1, 3537]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 3537]"
fuzz_pt_e60dd6a0,Success,1930.89,3657,3,"MaxPool2d,ReLU,Flatten","[16, 14, 1024, 256]",None
fuzz_pt_5dca9641,Success,1.0,2011,1,Flatten,"[4, 35, 1024, 128]",None
fuzz_pt_799349f5,Crash,1.0,1457,2,"Flatten,AvgPool2d","[64, 9, 64, 32]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_4d2a6b1e,Success,1.0,1938,1,ReLU,"[1, 20, 256, 16]",None
fuzz_pt_ab5a25e9,Crash,1.0,2552,2,"BatchNorm2d,Conv2d","[4, 9, 256, 16]",running_mean should contain 9 elements not 46
fuzz_pt_b6534031,Crash,4.03,2010,5,"Flatten,ReLU,Flatten,BatchNorm2d,BatchNorm2d","[64, 19, 128, 128]",expected 4D input (got 2D input)
fuzz_pt_01c8b4aa,Crash,2.12,4922,6,"MaxPool2d,BatchNorm2d,BatchNorm2d,MaxPool2d,Linear,AvgPool2d","[64, 34, 128, 16]",running_mean should contain 34 elements not 1
fuzz_pt_0652cf99,Timeout,3052.01,1488,1,AvgPool2d,"[16, 18, 256, 256]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_cd0be15e,Crash,1.0,5562,6,"BatchNorm2d,MaxPool2d,ReLU,Conv2d,Linear,Flatten","[4, 37, 128, 32]",running_mean should contain 37 elements not 62
fuzz_pt_f185d9de,Crash,1.0,2632,3,"Conv2d,MaxPool2d,BatchNorm2d","[256, 2482]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [256, 2482]"
fuzz_pt_842cb5e5,Crash,8.76,2796,2,"BatchNorm2d,Linear","[128, 8, 128, 128]",mat1 and mat2 shapes cannot be multiplied (131072x128 and 981x998)
fuzz_pt_5920e61c,Crash,2.01,3020,4,"AvgPool2d,ReLU,BatchNorm2d,Linear","[1, 36, 256, 1024]",running_mean should contain 36 elements not 31
fuzz_pt_d23b4fac,Crash,1.0,3039,2,"Conv2d,MaxPool2d","[4, 7, 64, 32]","Given groups=1, weight of size [62, 54, 1, 1], expected input[4, 7, 64, 32] to have 54 channels, but got 7 channels instead"
fuzz_pt_ca2d43b8,Crash,2.0,3110,3,"Flatten,ReLU,Conv2d","[64, 5, 64, 16]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [64, 5120]"
fuzz_pt_d30cb9c5,Crash,1.0,2841,4,"Linear,ReLU,ReLU,ReLU","[64, 28, 16, 1024]",mat1 and mat2 shapes cannot be multiplied (28672x1024 and 694x576)
fuzz_pt_51acf925,Crash,1.0,3679,5,"BatchNorm2d,Flatten,Conv2d,MaxPool2d,Flatten","[1, 37, 16, 64]",running_mean should contain 37 elements not 60
fuzz_pt_08b1d459,Crash,1.51,2246,3,"ReLU,BatchNorm2d,MaxPool2d","[128, 6, 64, 64]",running_mean should contain 6 elements not 36
fuzz_pt_dd8c6eb6,Crash,1.0,3762,5,"Flatten,Conv2d,MaxPool2d,AvgPool2d,BatchNorm2d","[16, 50, 128, 128]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [16, 819200]"
fuzz_pt_3f70f7b6,Crash,1.0,5320,6,"Linear,AvgPool2d,Conv2d,Flatten,BatchNorm2d,AvgPool2d","[4, 52, 128, 256]",mat1 and mat2 shapes cannot be multiplied (26624x256 and 680x545)
fuzz_pt_7a6eed9d,Crash,157.86,1585,2,"BatchNorm2d,ReLU",Unallocatable,AllocationError: [enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 16106127360 bytes.
fuzz_pt_28e9d454,Crash,1.0,2933,3,"Linear,BatchNorm2d,Linear","[64, 12, 16, 1024]",mat1 and mat2 shapes cannot be multiplied (12288x1024 and 822x891)
fuzz_pt_7d1f437c,Crash,1.0,5514,6,"BatchNorm2d,Flatten,Conv2d,MaxPool2d,BatchNorm2d,Linear","[16, 56, 16, 64]",running_mean should contain 56 elements not 51
fuzz_pt_46c5e2a0,Crash,3.85,5016,6,"Linear,ReLU,Conv2d,Linear,ReLU,Conv2d","[1, 10, 128, 128]",mat1 and mat2 shapes cannot be multiplied (1280x128 and 309x560)
fuzz_pt_ace2ff7f,Crash,39.48,3203,3,"MaxPool2d,Conv2d,Flatten","[4, 61, 256, 1024]","Given groups=1, weight of size [18, 33, 1, 1], expected input[4, 61, 85, 341] to have 33 channels, but got 61 channels instead"
fuzz_pt_9b28b47d,Crash,1.0,5095,5,"Flatten,ReLU,Linear,Conv2d,Linear","[64, 1213]",mat1 and mat2 shapes cannot be multiplied (64x1213 and 280x218)
fuzz_pt_6cfd5cb5,Crash,1.66,4666,5,"Linear,Flatten,Linear,AvgPool2d,AvgPool2d","[1, 60, 256, 256]",mat1 and mat2 shapes cannot be multiplied (15360x256 and 749x619)
fuzz_pt_f1bb8ea8,Crash,1.0,3174,5,"BatchNorm2d,Conv2d,BatchNorm2d,Conv2d,ReLU","[16, 48, 64, 32]",running_mean should contain 48 elements not 1
fuzz_pt_11348f21,Crash,1.0,2110,2,"BatchNorm2d,Conv2d","[16, 18, 64, 128]",running_mean should contain 18 elements not 62
fuzz_pt_a18e7db2,Crash,1.0,1238,1,AvgPool2d,"[1, 2612]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_fbbc97b7,Timeout,3464.28,2235,2,"MaxPool2d,Flatten","[4, 4, 64, 256]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_253612bb,Crash,1.0,2770,2,"Linear,AvgPool2d","[1, 26, 32, 32]",mat1 and mat2 shapes cannot be multiplied (832x32 and 656x450)
fuzz_pt_b2ae42ba,Crash,1.0,4152,5,"MaxPool2d,Linear,Conv2d,AvgPool2d,ReLU","[1, 19, 32, 256]",mat1 and mat2 shapes cannot be multiplied (304x128 and 674x117)
fuzz_pt_be846657,Crash,2.01,3934,3,"ReLU,Conv2d,Conv2d","[1, 26, 256, 1024]","Given groups=1, weight of size [56, 64, 1, 1], expected input[1, 26, 256, 1024] to have 64 channels, but got 26 channels instead"
fuzz_pt_10438494,Success,53.44,4325,3,"Conv2d,Flatten,Flatten","[16, 24, 1024, 64]",None
fuzz_pt_76f3e11a,Crash,1.0,3514,2,"Linear,BatchNorm2d","[64, 29, 1024, 256]",mat1 and mat2 shapes cannot be multiplied (1900544x256 and 758x91)
fuzz_pt_6a081fc3,Crash,1.0,2520,4,"AvgPool2d,AvgPool2d,BatchNorm2d,AvgPool2d","[64, 1124]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_aa674806,Crash,1.0,3363,5,"Linear,BatchNorm2d,AvgPool2d,BatchNorm2d,MaxPool2d","[16, 977]",mat1 and mat2 shapes cannot be multiplied (16x977 and 1012x645)
fuzz_pt_316d59f7,Crash,1.0,6017,4,"AvgPool2d,Linear,ReLU,Linear","[256, 4059]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_585b469b,Success,1.0,1412,1,ReLU,"[16, 8, 32, 64]",None
fuzz_pt_ee687b38,Crash,1.0,3168,5,"BatchNorm2d,Linear,MaxPool2d,Flatten,MaxPool2d","[64, 1063]",expected 4D input (got 2D input)
fuzz_pt_5bf531f0,Crash,1.0,6203,5,"Linear,Linear,Conv2d,MaxPool2d,MaxPool2d","[1, 50, 256, 256]",mat1 and mat2 shapes cannot be multiplied (12800x256 and 611x1003)
fuzz_pt_6b5c69eb,Crash,1.0,883,1,BatchNorm2d,"[16, 12, 256, 128]",running_mean should contain 12 elements not 24
fuzz_pt_153c49a4,Crash,1.09,3159,4,"MaxPool2d,Flatten,BatchNorm2d,Linear","[4, 53, 128, 64]",expected 4D input (got 2D input)
fuzz_pt_3a1ae8df,Crash,1.0,5446,5,"Conv2d,Conv2d,Conv2d,MaxPool2d,BatchNorm2d","[4, 48, 64, 1024]","Given groups=1, weight of size [54, 52, 5, 5], expected input[4, 48, 64, 1024] to have 52 channels, but got 48 channels instead"
fuzz_pt_fcf45f8f,Crash,2.04,2303,3,"ReLU,AvgPool2d,Conv2d","[4, 40, 32, 256]","Given groups=1, weight of size [37, 4, 1, 1], expected input[4, 40, 16, 128] to have 4 channels, but got 40 channels instead"
fuzz_pt_0fdf2366,Crash,1.0,1297,1,Conv2d,"[64, 21, 64, 1024]","Given groups=1, weight of size [47, 22, 3, 3], expected input[64, 21, 64, 1024] to have 22 channels, but got 21 channels instead"
fuzz_pt_67ddfb64,Crash,675.66,2194,3,"MaxPool2d,Linear,MaxPool2d","[64, 47, 1024, 256]",mat1 and mat2 shapes cannot be multiplied (1540096x128 and 761x986)
fuzz_pt_62a99308,Crash,1.0,935,1,BatchNorm2d,"[4, 21, 256, 128]",running_mean should contain 21 elements not 29
fuzz_pt_8f65c1ed,Crash,1.0,4155,5,"BatchNorm2d,Conv2d,Linear,ReLU,ReLU","[64, 27, 1024, 256]",running_mean should contain 27 elements not 59
fuzz_pt_705f08f7,Crash,1.0,6607,6,"Linear,MaxPool2d,Conv2d,AvgPool2d,BatchNorm2d,ReLU","[1, 1, 64, 16]",mat1 and mat2 shapes cannot be multiplied (64x16 and 220x898)
fuzz_pt_596f6085,Crash,1.0,4503,4,"AvgPool2d,Flatten,Conv2d,Flatten","[1, 3841]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_508f72a9,Crash,1.0,1553,3,"BatchNorm2d,MaxPool2d,BatchNorm2d","[128, 23, 256, 1024]",running_mean should contain 23 elements not 63
fuzz_pt_aed8009a,Success,12.24,2901,3,"Flatten,ReLU,Flatten","[128, 16, 1024, 32]",None
fuzz_pt_9eaee2af,Crash,1.0,4880,6,"BatchNorm2d,Flatten,Linear,Conv2d,BatchNorm2d,BatchNorm2d","[16, 24, 1024, 16]",running_mean should contain 24 elements not 2
fuzz_pt_a676be53,Success,1.53,2728,3,"ReLU,Flatten,Flatten","[4, 39, 128, 64]",None
fuzz_pt_a634c8a1,Success,1.0,3058,3,"MaxPool2d,Flatten,Flatten","[4, 42, 32, 64]",None
fuzz_pt_b39655ce,Crash,1.0,3643,3,"BatchNorm2d,Linear,AvgPool2d","[16, 45, 256, 128]",running_mean should contain 45 elements not 9
fuzz_pt_ca757c77,Crash,1.0,2230,2,"ReLU,Conv2d","[4, 16, 128, 64]","Given groups=1, weight of size [46, 4, 3, 3], expected input[4, 16, 128, 64] to have 4 channels, but got 16 channels instead"
fuzz_pt_e591ea5f,Crash,1.0,3358,5,"MaxPool2d,Flatten,Flatten,Conv2d,AvgPool2d","[64, 14, 16, 32]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [64, 1792]"
fuzz_pt_f3fb6b01,Crash,1.0,6012,4,"BatchNorm2d,Conv2d,Linear,BatchNorm2d","[1, 22, 16, 256]",running_mean should contain 22 elements not 38
fuzz_pt_a6c25958,Success,3.92,3155,3,"AvgPool2d,ReLU,ReLU","[64, 32, 256, 32]",None
fuzz_pt_8e4b577f,Crash,1.0,3885,5,"ReLU,Linear,Conv2d,ReLU,AvgPool2d","[16, 28, 128, 32]",mat1 and mat2 shapes cannot be multiplied (57344x32 and 864x639)
fuzz_pt_d06636fd,Crash,1.0,4628,6,"Flatten,Flatten,ReLU,ReLU,Conv2d,AvgPool2d","[64, 34, 16, 32]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [64, 17408]"
fuzz_pt_070b9833,Crash,1.0,1941,2,"BatchNorm2d,ReLU","[64, 472]",expected 4D input (got 2D input)
fuzz_pt_7c0aeecb,Crash,1.0,2966,4,"BatchNorm2d,BatchNorm2d,Conv2d,Flatten","[4, 60, 64, 256]",running_mean should contain 60 elements not 52
fuzz_pt_b0fc585c,Crash,1.0,5988,6,"ReLU,Conv2d,Flatten,BatchNorm2d,ReLU,Linear","[128, 7, 128, 16]","Given groups=1, weight of size [63, 55, 1, 1], expected input[128, 7, 128, 16] to have 55 channels, but got 7 channels instead"
fuzz_pt_1e4e0614,Success,1.0,1475,1,ReLU,"[1, 13, 1024, 16]",None
fuzz_pt_fe293a48,Crash,1.0,3177,2,"Linear,Conv2d","[256, 1511]",mat1 and mat2 shapes cannot be multiplied (256x1511 and 514x616)
fuzz_pt_3738ca76,Crash,1.0,4361,6,"Linear,Linear,MaxPool2d,ReLU,ReLU,BatchNorm2d","[16, 4012]",mat1 and mat2 shapes cannot be multiplied (16x4012 and 566x677)
fuzz_pt_876cf007,Crash,23.54,3079,3,"ReLU,Linear,Linear","[16, 55, 1024, 128]",mat1 and mat2 shapes cannot be multiplied (901120x128 and 468x741)
fuzz_pt_cbebd297,Crash,1.0,1842,3,"Flatten,Flatten,AvgPool2d","[16, 2853]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_f5db0dd5,Timeout,3059.67,2554,2,"AvgPool2d,Flatten","[128, 20, 64, 1024]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_529a1a5b,Crash,1.0,2500,1,Conv2d,"[4, 36, 256, 16]","Given groups=1, weight of size [20, 8, 3, 3], expected input[4, 36, 256, 16] to have 8 channels, but got 36 channels instead"
fuzz_pt_f6373462,Crash,1.0,3239,5,"Flatten,AvgPool2d,BatchNorm2d,BatchNorm2d,AvgPool2d","[16, 4, 64, 1024]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_5ab0d4c0,Crash,1.0,2674,5,"BatchNorm2d,ReLU,ReLU,BatchNorm2d,AvgPool2d","[1, 42, 128, 16]",running_mean should contain 42 elements not 14
fuzz_pt_ee6389af,Crash,1.0,3360,4,"Conv2d,Flatten,ReLU,Conv2d","[4, 5, 64, 64]","Given groups=1, weight of size [38, 35, 5, 5], expected input[4, 5, 64, 64] to have 35 channels, but got 5 channels instead"
fuzz_pt_2fb906b9,Crash,1.0,3370,3,"Conv2d,Conv2d,Flatten","[1, 1728]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 1728]"
fuzz_pt_b07c4d50,Crash,1.0,1076,1,BatchNorm2d,"[4, 39, 128, 256]",running_mean should contain 39 elements not 27
fuzz_pt_af187565,Timeout,3055.52,2463,2,"ReLU,AvgPool2d","[1, 57, 1024, 1024]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_f1ca8a05,Crash,1.0,3273,5,"MaxPool2d,Flatten,Conv2d,BatchNorm2d,Flatten","[1, 61, 16, 16]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 3904]"
fuzz_pt_663583b8,Crash,1.0,3277,4,"ReLU,Flatten,Linear,AvgPool2d","[128, 64, 32, 16]",mat1 and mat2 shapes cannot be multiplied (128x32768 and 614x698)
fuzz_pt_a541ed59,Crash,1.0,5303,5,"Conv2d,Conv2d,Linear,Linear,BatchNorm2d","[64, 41]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [64, 41]"
fuzz_pt_d841d5ee,Crash,2.16,2588,2,"Linear,Conv2d","[16, 52, 16, 16]",mat1 and mat2 shapes cannot be multiplied (13312x16 and 751x95)
fuzz_pt_90effa42,Crash,3.25,3679,4,"MaxPool2d,BatchNorm2d,Flatten,Linear","[4, 31, 128, 256]",running_mean should contain 31 elements not 13
fuzz_pt_7877583c,Crash,1.0,1320,2,"MaxPool2d,MaxPool2d","[1, 2185]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_ab3567d1,Crash,1.0,3696,6,"BatchNorm2d,ReLU,MaxPool2d,BatchNorm2d,AvgPool2d,MaxPool2d","[1, 4044]",expected 4D input (got 2D input)
fuzz_pt_0c609bd4,Crash,1.0,3463,5,"Conv2d,ReLU,BatchNorm2d,MaxPool2d,AvgPool2d","[1, 23, 16, 256]","Given groups=1, weight of size [55, 57, 3, 3], expected input[1, 23, 16, 256] to have 57 channels, but got 23 channels instead"
fuzz_pt_a0236a50,Crash,1.0,2361,3,"BatchNorm2d,ReLU,ReLU","[16, 43, 128, 32]",running_mean should contain 43 elements not 60
fuzz_pt_73c63e47,Crash,1.0,4751,5,"Flatten,BatchNorm2d,BatchNorm2d,Conv2d,AvgPool2d","[1, 82]",expected 4D input (got 2D input)
fuzz_pt_174ba825,Success,1.11,1178,1,ReLU,"[4, 14, 256, 128]",None
fuzz_pt_63a09edf,Crash,1.0,5119,4,"MaxPool2d,ReLU,Conv2d,Linear","[16, 2921]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_8de7d781,Crash,1.0,4544,4,"Linear,BatchNorm2d,MaxPool2d,Linear","[16, 1986]",mat1 and mat2 shapes cannot be multiplied (16x1986 and 141x935)
fuzz_pt_394c65e1,Crash,1.0,3329,5,"MaxPool2d,Conv2d,Flatten,AvgPool2d,AvgPool2d","[256, 795]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_3c722769,Crash,1.0,4059,4,"ReLU,Linear,AvgPool2d,MaxPool2d","[64, 55, 16, 16]",mat1 and mat2 shapes cannot be multiplied (56320x16 and 257x334)
fuzz_pt_256f0c84,Crash,61.67,4502,4,"MaxPool2d,Linear,ReLU,Flatten","[128, 63, 16, 1024]",mat1 and mat2 shapes cannot be multiplied (40320x341 and 604x133)
fuzz_pt_e92a8f03,Crash,1.0,3821,5,"BatchNorm2d,Linear,Flatten,Linear,BatchNorm2d","[1, 1317]",expected 4D input (got 2D input)
fuzz_pt_c82589a4,Crash,1.0,5285,6,"Flatten,Linear,MaxPool2d,AvgPool2d,Conv2d,Linear","[1, 3457]",mat1 and mat2 shapes cannot be multiplied (1x3457 and 55x639)
fuzz_pt_286cbf86,Crash,1.0,2032,2,"Flatten,MaxPool2d","[1, 5, 16, 16]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_6dabeb14,Crash,1.0,4908,5,"Flatten,Linear,Conv2d,Conv2d,MaxPool2d","[16, 10, 256, 1024]",mat1 and mat2 shapes cannot be multiplied (16x2621440 and 161x657)
fuzz_pt_27db667c,Crash,1.0,3709,6,"Flatten,Linear,ReLU,Conv2d,MaxPool2d,Flatten","[4, 62, 256, 256]",mat1 and mat2 shapes cannot be multiplied (4x4063232 and 268x798)
fuzz_pt_9c1404f9,Crash,1.0,3037,5,"BatchNorm2d,ReLU,MaxPool2d,Flatten,MaxPool2d","[4, 62, 128, 32]",running_mean should contain 62 elements not 6
fuzz_pt_e3297486,Crash,1.0,3609,6,"AvgPool2d,Flatten,BatchNorm2d,Flatten,BatchNorm2d,AvgPool2d","[1, 58, 32, 32]",expected 4D input (got 2D input)
fuzz_pt_604bd7ed,Crash,1.0,4428,3,"Conv2d,Linear,AvgPool2d","[16, 3916]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [16, 3916]"
fuzz_pt_02620c01,Crash,1.0,5953,5,"Linear,Linear,BatchNorm2d,Linear,ReLU","[1, 3904]",mat1 and mat2 shapes cannot be multiplied (1x3904 and 734x710)
fuzz_pt_82df4a58,Crash,1.0,1842,3,"Flatten,Flatten,MaxPool2d","[1, 46, 64, 32]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_ba05b5ca,Crash,1.0,3502,4,"Conv2d,Conv2d,AvgPool2d,BatchNorm2d","[4, 2, 32, 64]","Given groups=1, weight of size [22, 25, 5, 5], expected input[4, 2, 32, 64] to have 25 channels, but got 2 channels instead"
fuzz_pt_a004deda,Crash,1.0,4401,4,"Flatten,Linear,Conv2d,AvgPool2d","[64, 48, 64, 128]",mat1 and mat2 shapes cannot be multiplied (64x393216 and 664x462)
fuzz_pt_4389a08f,Crash,1.0,4005,6,"ReLU,Flatten,ReLU,Flatten,Linear,MaxPool2d","[16, 3579]",mat1 and mat2 shapes cannot be multiplied (16x3579 and 948x383)
fuzz_pt_7dcde82f,Crash,1.0,3381,5,"Linear,AvgPool2d,AvgPool2d,AvgPool2d,Conv2d","[1, 2844]",mat1 and mat2 shapes cannot be multiplied (1x2844 and 450x199)
fuzz_pt_b3ec18be,Crash,1.0,6267,5,"MaxPool2d,Conv2d,Linear,AvgPool2d,AvgPool2d","[1, 3019]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_85f675c9,Crash,1.0,3787,5,"ReLU,AvgPool2d,BatchNorm2d,Flatten,Linear","[1, 2546]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_cc1d4feb,Crash,1.0,3331,2,"Conv2d,Linear","[128, 3, 16, 16]","Given groups=1, weight of size [54, 33, 3, 3], expected input[128, 3, 16, 16] to have 33 channels, but got 3 channels instead"
fuzz_pt_b2ece3fc,Crash,1.0,3206,4,"Linear,Linear,BatchNorm2d,AvgPool2d","[1, 24, 32, 64]",mat1 and mat2 shapes cannot be multiplied (768x64 and 881x353)
fuzz_pt_bd511a3f,Crash,1.0,3167,5,"Flatten,Flatten,BatchNorm2d,Flatten,BatchNorm2d","[1, 333]",expected 4D input (got 2D input)
fuzz_pt_a8704179,Crash,1.57,2129,3,"Flatten,MaxPool2d,Flatten","[64, 5, 16, 256]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_d890f8f9,Crash,1.0,2394,2,"Conv2d,AvgPool2d","[256, 3653]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [256, 3653]"
fuzz_pt_ec17cbe3,Crash,1.0,1930,2,"BatchNorm2d,ReLU","[64, 1070]",expected 4D input (got 2D input)
fuzz_pt_d511580a,Crash,1.0,2981,4,"Conv2d,BatchNorm2d,Flatten,Conv2d","[1, 120]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 120]"
fuzz_pt_4055c2a6,Crash,1.0,3469,5,"Flatten,BatchNorm2d,Linear,ReLU,Linear","[16, 61, 16, 16]",expected 4D input (got 2D input)
fuzz_pt_098f0203,Crash,3.69,3299,5,"MaxPool2d,AvgPool2d,AvgPool2d,MaxPool2d,BatchNorm2d","[128, 50, 64, 16]",Given input size: (50x7x1). Calculated output size: (50x2x0). Output size is too small
fuzz_pt_4108d671,Crash,64.6,4128,6,"MaxPool2d,BatchNorm2d,MaxPool2d,Flatten,MaxPool2d,Linear","[16, 59, 128, 1024]",running_mean should contain 59 elements not 13
fuzz_pt_110dee31,Crash,1.0,3599,4,"Linear,ReLU,BatchNorm2d,MaxPool2d","[128, 18, 1024, 128]",mat1 and mat2 shapes cannot be multiplied (2359296x128 and 734x412)
fuzz_pt_2cb7b4c2,Crash,1.0,3320,4,"Linear,BatchNorm2d,AvgPool2d,BatchNorm2d","[1, 184]",mat1 and mat2 shapes cannot be multiplied (1x184 and 810x41)
fuzz_pt_2aa4e14d,Crash,1.0,1522,1,Conv2d,"[4, 11, 1024, 32]","Given groups=1, weight of size [40, 10, 5, 5], expected input[4, 11, 1024, 32] to have 10 channels, but got 11 channels instead"
